R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Donnarumma G.;Milan;37;6,28;5,32;0;38;1;0;0;0;0;1;0;0
P;Szczesny;Juventus;30;6,22;5,38;0;32;2;0;0;0;1;0;0;0
P;Handanovic;Inter;37;6,03;5,23;0;33;2;0;0;0;0;1;0;1
P;Gollini;Atalanta;25;6,1;5,26;0;26;2;0;0;0;0;0;1;0
P;Audero;Sampdoria;37;6,38;5,11;0;54;2;0;0;0;1;0;0;0
P;Consigli;Sassuolo;37;6,38;4,93;0;56;1;0;0;0;0;1;0;0
P;Meret;Napoli;22;6,2;4,89;0;29;0;0;0;0;0;0;0;0
P;Perin;Genoa;32;6,25;4,83;0;44;0;0;0;0;0;1;1;0
P;Dragowski;Fiorentina;36;6,21;4,85;0;55;2;0;0;0;0;0;0;0
P;Cragno;Cagliari;34;6,37;4,79;0;53;0;0;0;0;0;1;0;0
P;Reina;Lazio;29;6,12;4,69;0;41;0;0;0;0;0;1;0;0
P;Silvestri;Verona;34;6,21;4,9;0;42;0;0;0;0;0;1;0;1
P;Ospina;Napoli;16;6,09;5,34;0;12;0;0;0;0;1;2;0;0
P;Skorupski;Bologna;28;6,09;4,64;0;46;2;0;0;0;0;1;0;0
P;Musso;Udinese;35;6,13;4,6;0;51;0;0;0;0;0;5;0;0
P;Sportiello;Atalanta;15;6,23;5,03;0;21;1;0;0;0;0;0;0;0
P;Terracciano;Fiorentina;4;6,25;6;0;4;1;0;0;0;0;0;0;0
P;Pau Lopez;Roma;21;6,1;4,71;0;29;0;0;0;0;0;0;0;0
P;Buffon;Juventus;8;6,31;6,06;0;5;1;0;0;0;0;0;0;0
P;Strakosha;Lazio;9;5,94;4,33;0;14;0;0;0;0;0;1;0;0
P;Provedel;Spezia;29;6,05;4,24;0;55;1;0;0;0;0;1;0;0
P;Vicario;Cagliari;4;6,5;5;0;6;0;0;0;0;0;0;0;0
P;Mirante;Roma;13;6,15;4,85;0;19;1;0;0;0;0;2;0;0
P;Radu I.;Inter;2;6;5,5;0;1;0;0;0;0;0;0;0;0
P;Sirigu;Torino;32;6,02;4,08;0;62;0;0;0;0;0;0;0;0
P;Fuzato;Roma;5;6,4;5;0;7;0;0;0;0;0;0;0;0
P;Montipo';Benevento;37;5,99;3,97;0;74;1;0;0;0;0;3;0;1
P;Pandur;Verona;4;6,12;4,62;0;6;0;0;0;0;0;0;0;0
P;Sepe;Parma;36;6;3,89;0;76;0;0;0;0;0;0;0;0
P;Rafael;Spezia;3;7;5,67;0;5;0;0;0;0;1;0;0;0
P;Festa;Crotone;1;7;6;0;1;0;0;0;0;0;0;0;0
P;Berardi A.;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
P;Letica;Sampdoria;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Crespi;Crotone;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Ujkani;Torino;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Padelli;Inter;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Cordaz;Crotone;36;6,17;3,62;0;91;0;0;0;0;0;1;0;0
P;Pinsoglio;Juventus;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Milinkovic-Savic V.;Torino;5;5,8;4,6;0;6;0;0;0;0;0;0;0;0
P;Zoet;Spezia;7;6,07;4,29;0;12;0;0;0;0;0;1;0;0
P;Paleari;Genoa;3;6,17;5,17;0;3;0;0;0;0;0;0;0;0
P;Radunovic;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Da Costa;Bologna;6;5,42;3,75;0;9;0;0;0;0;0;2;0;0
P;Sarr M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Tatarusanu;Milan;1;5;2;0;3;0;0;0;0;0;0;0;0
P;Donnarumma An.;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Marchetti;Genoa;4;5,88;3,12;0;11;0;0;0;0;0;0;0;0
P;Colombi;Parma;2;6;2,5;0;7;0;0;0;0;0;0;0;0
P;Pegolo;Sassuolo;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Scuffet;Udinese;1;5;3;0;2;0;0;0;0;0;0;0;0
P;Alastra;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Perisan;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Zima L.;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Aresti;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Nicolas;Udinese;2;5,5;3;0;5;0;0;0;0;0;0;0;0
P;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Ravaglia F.;Bologna;4;5,88;3,38;0;10;0;0;0;0;0;0;0;0
P;Proto;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rosati;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Dini;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Contini;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
