R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Donnarumma G.;Milan;35;6,33;5,47;0;31;1;0;0;0;0;4;0;0
P;Szczesny;Juventus;28;6,14;5,54;0;20;1;0;0;0;0;0;0;0
P;Handanovic;Inter;38;6,18;5,32;0;33;0;0;0;0;0;0;0;0
P;Sirigu;Torino;36;6,35;5,53;0;35;2;0;0;0;0;1;0;0
P;Consigli;Sassuolo;36;6,25;4,89;0;56;3;0;0;0;0;2;1;0
P;Meret;Napoli;14;6,18;5,46;0;9;0;0;0;0;0;0;1;0
P;Strakosha;Lazio;35;6,17;5,09;0;39;1;0;0;0;0;4;0;0
P;Cragno;Cagliari;38;6,45;5,17;0;54;2;0;0;0;0;1;0;0
P;Radu I.;Genoa;33;6,3;5;0;46;1;0;0;0;0;0;0;0
P;Lafont;Fiorentina;34;6,01;4,84;0;40;1;0;0;0;0;2;0;1
P;Musso;Udinese;29;6,26;4,81;0;40;0;0;0;0;0;4;0;0
P;Mirante;Roma;11;6,55;6,27;0;6;1;0;0;0;0;0;0;0
P;Skorupski;Bologna;38;6,11;4,62;0;56;0;0;0;0;0;1;0;0
P;Viviano;SPAL;17;6,29;4,82;0;25;0;0;0;0;0;0;0;0
P;Gollini;Atalanta;20;6,22;5,15;0;21;0;0;0;0;0;1;0;0
P;Audero;Sampdoria;36;6,04;4,65;0;51;1;0;0;0;0;4;0;0
P;Olsen;Roma;27;6;4,41;0;42;0;0;0;0;0;2;0;0
P;Sorrentino;Chievo;31;6,29;4,52;0;60;2;0;0;0;0;2;0;0
P;Dragowski;Empoli;17;6,44;5,03;0;26;1;0;0;0;0;2;0;0
P;Sepe;Parma;37;6,09;4,43;0;59;0;0;0;0;0;1;0;1
P;Berisha;Atalanta;18;5,97;4,56;0;25;0;0;0;0;0;1;0;0
P;Gomis A.;SPAL;20;6,05;4,7;0;27;0;0;0;0;0;0;0;0
P;Ospina;Napoli;17;6,06;4,88;0;20;0;0;0;0;0;0;0;0
P;Sportiello;Frosinone;35;6,11;4,21;0;64;0;0;0;0;0;5;0;0
P;Terracciano;Fiorentina;10;6,35;5,05;0;13;0;0;0;0;0;0;0;0
P;Perin;Juventus;9;5,89;4,94;0;8;0;0;0;0;0;1;0;0
P;Marchetti;Genoa;4;5,75;3,12;0;10;0;0;0;0;0;1;0;0
P;Reina;Milan;4;6,38;5,12;0;5;0;0;0;0;0;0;0;0
P;Karnezis;Napoli;9;6,11;5,33;0;7;0;0;0;0;0;0;0;0
P;Provedel;Empoli;16;5,84;3,59;0;36;0;0;0;0;0;0;0;0
P;Semper;Chievo;6;6,25;4,92;0;8;0;0;0;0;0;0;0;0
P;Rafael Cabral;Sampdoria;2;6;6;0;0;0;0;0;0;0;0;0;0
P;Ichazo;Torino;3;5,67;5;0;2;0;0;0;0;0;0;0;0
P;Scuffet;Udinese;9;6,11;4,67;0;13;0;0;0;0;0;0;0;0
P;Jandrei;Genoa;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
P;Pegolo;Sassuolo;3;6;4,5;0;4;0;0;0;0;0;1;0;0
P;Bardi;Frosinone;3;6;4,33;0;5;0;0;0;0;0;0;0;0
P;Milinkovic-Savic V.;SPAL;2;5,75;3,25;0;4;0;0;0;0;0;0;1;0
P;Da Costa;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Seculin;Chievo;2;5,75;2,25;0;7;0;0;0;0;0;0;0;0
P;Donnarumma An.;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Berni;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Guerrieri;Lazio;1;5,5;2,5;0;3;0;0;0;0;0;0;0;0
P;Gabriel;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Padelli;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rafael;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Perisan;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Belec;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Pinsoglio;Juventus;1;5,5;3,5;0;2;0;0;0;0;0;0;0;0
P;Fulignati;SPAL;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Aresti;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Tozzo;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Plizzari;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
