R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
P;Meret;Napoli;17;14;3;17;14;3;71;71
P;Provedel;Lazio;17;7;10;17;7;10;78;78
P;Maignan;Milan;16;18;-2;16;18;-2;62;62
P;Vicario;Empoli;15;9;6;15;9;6;27;27
P;Szczesny;Juventus;14;16;-2;14;16;-2;53;53
P;Skorupski;Bologna;13;11;2;13;11;2;32;32
P;Falcone;Lecce;13;5;8;13;5;8;32;32
P;Silvestri;Udinese;13;10;3;13;10;3;29;29
P;Rui Patricio;Roma;13;14;-1;13;14;-1;42;42
P;Di Gregorio;Monza;13;1;12;13;1;12;40;40
P;Milinkovic-Savic V.;Torino;12;1;11;12;1;11;32;32
P;Onana;Inter;12;1;11;12;1;11;42;42
P;Sportiello;Atalanta;10;1;9;10;1;9;23;23
P;Dragowski;Spezia;10;7;3;10;7;3;24;24
P;Terracciano;Fiorentina;10;1;9;10;1;9;38;38
P;Carnesecchi;Cremonese;10;1;9;10;1;9;13;13
P;Montipo';Verona;10;11;-1;10;11;-1;19;19
P;Ochoa;Salernitana;10;2;8;10;2;8;36;36
P;Perin;Juventus;9;1;8;9;1;8;4;4
P;Cerofolini;Fiorentina;9;1;8;9;1;8;1;1
P;Musso;Atalanta;9;13;-4;9;13;-4;5;5
P;Sepe;Salernitana;8;8;0;8;8;0;1;1
P;Handanovic;Inter;8;16;-8;8;16;-8;4;4
P;Consigli;Sassuolo;7;11;-4;7;11;-4;24;24
P;Audero;Sampdoria;7;10;-3;7;10;-3;5;5
P;Gollini;Napoli;6;12;-6;6;12;-6;8;8
P;Perisan;Empoli;6;1;5;6;1;5;1;1
P;Tatarusanu;Milan;5;1;4;5;1;4;1;1
P;Cordaz;Inter;4;1;3;4;1;3;1;1
P;Zoet;Spezia;4;1;3;4;1;3;1;1
P;Svilar;Roma;4;1;3;4;1;3;1;1
P;Sarr M.;Cremonese;2;1;1;2;1;1;1;1
P;Pegolo;Sassuolo;2;1;1;2;1;1;1;1
P;Ravaglia;Sampdoria;2;1;1;2;1;1;3;3
P;Turk;Sampdoria;2;1;1;2;1;1;1;1
P;Mirante;Milan;1;1;0;1;1;0;1;1
P;Lamanna;Monza;1;1;0;1;1;0;1;1
P;Ujkani;Empoli;1;1;0;1;1;0;1;1
P;Berisha;Torino;1;11;-10;1;11;-10;1;1
P;Marchetti;Spezia;1;1;0;1;1;0;1;1
P;Perilli;Verona;1;1;0;1;1;0;1;1
P;Padelli;Udinese;1;1;0;1;1;0;1;1
P;Bardi;Bologna;1;1;0;1;1;0;1;1
P;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
P;Fiorillo;Salernitana;1;1;0;1;1;0;1;1
P;Cragno;Monza;1;11;-10;1;11;-10;1;1
P;Sirigu;Fiorentina;1;1;0;1;1;0;1;1
P;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
P;Ravaglia F.;Bologna;1;1;0;1;1;0;1;1
P;Brancolini;Lecce;1;1;0;1;1;0;1;1
P;Bleve;Lecce;1;1;0;1;1;0;1;1
P;Berardi A.;Verona;1;1;0;1;1;0;1;1
P;Russo A.;Sassuolo;1;1;0;1;1;0;1;1
P;Gemello;Torino;1;1;0;1;1;0;1;1
P;Boer;Roma;1;1;0;1;1;0;1;1
P;Adamonis;Lazio;1;1;0;1;1;0;1;1
P;Marfella;Napoli;1;1;0;1;1;0;1;1
P;Zovko;Spezia;1;1;0;1;1;0;1;1
P;Piana;Udinese;1;1;0;1;1;0;1;1
P;Bagnolini;Bologna;1;1;0;1;1;0;1;1
P;Luis Maximiano;Lazio;1;12;-11;1;12;-11;1;1
P;Sorrentino A.;Monza;1;1;0;1;1;0;1;1
P;Ciezkowski;Cremonese;1;1;0;1;1;0;1;1
P;Saro;Cremonese;1;1;0;1;1;0;1;1
P;Vasquez D.;Milan;1;1;0;1;1;0;1;1
P;Martinelli T.;Fiorentina;1;1;0;1;1;0;1;1
D;Carlos Augusto;Monza;19;8;11;19;8;11;58;58
D;Dimarco;Inter;18;8;10;18;9;9;53;58
D;Posch;Bologna;18;8;10;18;9;9;56;56
D;Di Lorenzo;Napoli;17;15;2;17;15;2;67;67
D;Zappacosta;Atalanta;16;11;5;16;10;6;24;24
D;Danilo;Juventus;16;12;4;15;14;1;40;42
D;Smalling;Roma;16;14;2;16;14;2;42;42
D;Kim;Napoli;15;13;2;15;13;2;49;49
D;Romagnoli;Lazio;14;11;3;14;11;3;32;32
D;Hernandez T.;Milan;14;20;-6;14;22;-8;59;59
